iter	Passed	Remaining
404	6246	9177
405	6259	9157
406	6271	9138
407	6284	9119
408	6297	9099
409	6310	9080
410	6323	9061
411	6336	9043
412	6349	9024
413	6361	9005
414	6376	8987
415	6388	8968
416	6402	8950
417	6415	8932
418	6427	8913
419	6442	8896
420	6455	8878
421	6468	8859
422	6481	8841
423	6494	8823
424	6507	8804
425	6520	8786
426	6533	8767
427	6547	8750
428	6560	8732
429	6574	8714
430	6587	8696
431	6600	8678
432	6613	8660
433	6626	8641
434	6639	8623
435	6652	8605
436	6665	8587
437	6678	8568
438	6692	8552
439	6705	8534
440	6718	8516
441	6731	8498
442	6744	8480
443	6757	8462
444	6770	8443
445	6782	8425
446	6795	8407
447	6808	8389
448	6821	8371
449	6834	8352
450	6847	8335
451	6859	8316
452	6872	8298
453	6885	8280
454	6898	8263
455	6911	8245
456	6925	8228
457	6938	8211
458	6952	8194
459	6966	8177
460	6979	8160
461	6992	8142
462	7005	8125
463	7018	8107
464	7030	8089
465	7043	8071
466	7057	8054
467	7070	8036
468	7083	8019
469	7096	8002
470	7109	7984
471	7122	7967
472	7135	7949
473	7148	7932
474	7160	7914
475	7173	7896
476	7188	7881
477	7201	7864
478	7214	7847
479	7227	7829
480	7240	7812
481	7253	7794
482	7266	7777
483	7280	7761
484	7292	7744
485	7305	7726
486	7319	7709
487	7332	7692
488	7345	7675
489	7358	7658
490	7370	7641
491	7383	7623
492	7395	7605
493	7408	7588
494	7421	7571
495	7435	7555
496	7448	7538
497	7461	7521
498	7474	7504
499	7486	7486
500	7499	7469
501	7512	7452
502	7524	7434
503	7537	7417
504	7550	7401
505	7563	7384
506	7577	7368
507	7590	7351
508	7603	7334
509	7615	7317
510	7628	7299
511	7640	7282
512	7653	7265
513	7666	7249
514	7679	7232
515	7694	7217
516	7707	7200
517	7719	7183
518	7732	7166
519	7745	7149
520	7758	7132
521	7770	7115
522	7783	7098
523	7795	7081
524	7809	7065
525	7821	7048
526	7834	7031
527	7847	7014
528	7859	6997
529	7872	6981
530	7885	6964
531	7897	6947
532	7910	6930
533	7923	6914
534	7937	6898
535	7950	6882
536	7963	6866
537	7976	6850
538	7989	6833
539	8002	6816
540	8015	6800
541	8028	6783
542	8040	6767
543	8053	6750
544	8066	6734
545	8079	6717
546	8092	6701
547	8105	6685
548	8117	6668
549	8130	6652
550	8143	6636
551	8156	6620
552	8170	6604
553	8184	6589
554	8197	6572
555	8210	6556
556	8223	6540
557	8236	6524
558	8250	6508
559	8263	6492
560	8276	6476
561	8289	6460
562	8302	6444
563	8315	6428
564	8329	6412
565	8342	6396
566	8359	6383
567	8372	6367
568	8385	6351
569	8399	6336
570	8412	6320
571	8428	6306
572	8441	6290
573	8454	6274
574	8467	6258
575	8481	6243
576	8495	6227
577	8508	6212
578	8522	6196
579	8535	6180
580	8549	6165
581	8563	6150
582	8577	6134
583	8590	6119
584	8603	6103
585	8616	6087
586	8629	6071
587	8642	6055
588	8655	6039
589	8669	6024
590	8683	6009
591	8695	5993
592	8708	5977
593	8721	5961
594	8735	5946
595	8748	5930
596	8761	5914
597	8774	5898
598	8787	5882
599	8800	5866
600	8813	5850
601	8826	5835
602	8839	5819
603	8852	5803
604	8865	5787
605	8878	5772
606	8891	5756
607	8904	5741
608	8917	5725
609	8931	5710
610	8944	5694
611	8957	5679
612	8970	5663
613	8983	5647
614	8995	5631
615	9008	5615
616	9022	5600
617	9035	5584
618	9048	5569
619	9061	5553
620	9073	5537
621	9086	5521
622	9099	5506
623	9112	5490
624	9125	5475
625	9137	5459
626	9150	5443
627	9162	5427
628	9176	5412
629	9189	5397
630	9202	5381
631	9214	5365
632	9227	5349
633	9239	5334
634	9253	5318
635	9266	5303
636	9279	5287
637	9291	5272
638	9304	5256
639	9317	5240
640	9330	5225
641	9342	5209
642	9355	5194
643	9368	5178
644	9380	5163
645	9393	5147
646	9406	5132
647	9421	5117
648	9436	5103
649	9449	5088
650	9463	5073
651	9475	5057
652	9488	5041
653	9500	5026
654	9513	5010
655	9527	4996
656	9542	4981
657	9555	4966
658	9569	4951
659	9582	4936
660	9595	4920
661	9608	4905
662	9621	4890
663	9633	4874
664	9646	4859
665	9660	4844
666	9673	4829
667	9686	4814
668	9699	4798
669	9711	4783
670	9724	4768
671	9737	4752
672	9750	4737
673	9762	4722
674	9775	4706
675	9788	4691
676	9801	4676
677	9814	4661
678	9827	4645
679	9839	4630
680	9852	4615
681	9865	4599
682	9878	4584
683	9892	4570
684	9905	4555
685	9920	4540
686	9934	4526
687	9948	4511
688	9962	4496
689	9975	4481
690	9989	4466
691	10002	4452
692	10015	4436
693	10027	4421
694	10041	4406
695	10053	4391
696	10067	4376
697	10080	4361
698	10092	4346
699	10105	4330
700	10117	4315
701	10130	4300
702	10142	4285
703	10155	4269
704	10169	4255
705	10182	4240
706	10195	4225
707	10207	4210
708	10220	4195
709	10234	4180
710	10247	4165
711	10260	4150
712	10273	4135
713	10286	4120
714	10298	4105
715	10311	4089
716	10324	4074
717	10337	4059
718	10350	4045
719	10363	4030
720	10376	4015
721	10389	4000
722	10401	3985
723	10415	3970
724	10429	3955
725	10442	3940
726	10454	3925
727	10467	3910
728	10480	3895
729	10492	3880
730	10505	3866
731	10518	3851
732	10532	3836
733	10545	3821
734	10558	3806
735	10571	3791
736	10584	3776
737	10597	3762
738	10610	3747
739	10624	3732
740	10636	3717
741	10649	3702
742	10663	3688
743	10676	3673
744	10689	3658
745	10701	3643
746	10715	3629
747	10727	3614
748	10740	3599
749	10753	3584
750	10766	3569
751	10778	3554
752	10791	3539
753	10804	3525
754	10817	3510
755	10829	3495
756	10843	3480
757	10858	3466
758	10872	3452
759	10886	3437
760	10899	3423
761	10913	3408
762	10927	3394
763	10940	3379
764	10955	3365
765	10968	3350
766	10982	3336
767	10996	3321
768	11010	3307
769	11023	3292
770	11035	3277
771	11049	3263
772	11063	3248
773	11076	3234
774	11088	3219
775	11101	3204
776	11114	3189
777	11127	3175
778	11140	3160
779	11154	3146
780	11167	3131
781	11186	3118
782	11199	3103
783	11212	3089
784	11225	3074
785	11239	3060
786	11252	3045
787	11266	3030
788	11278	3016
789	11291	3001
790	11305	2987
791	11318	2972
792	11331	2957
793	11344	2943
794	11357	2928
795	11370	2914
796	11383	2899
797	11396	2884
798	11410	2870
799	11423	2855
800	11436	2841
801	11450	2826
802	11463	2812
803	11476	2797
804	11493	2784
805	11511	2770
806	11529	2757
807	11543	2743
808	11556	2728
809	11570	2714
810	11583	2699
811	11596	2684
812	11609	2670
813	11623	2655
814	11637	2641
815	11650	2627
816	11665	2612
817	11678	2598
818	11692	2583
819	11705	2569
820	11718	2554
821	11731	2540
822	11745	2525
823	11757	2511
824	11770	2496
825	11784	2482
826	11797	2467
827	11810	2453
828	11824	2439
829	11837	2424
830	11850	2410
831	11865	2395
832	11882	2382
833	11897	2368
834	11917	2355
835	11932	2340
836	11947	2326
837	11962	2312
838	11976	2298
839	11991	2284
840	12006	2269
841	12021	2255
842	12036	2241
843	12050	2227
844	12066	2213
845	12081	2199
846	12095	2184
847	12110	2170
848	12123	2156
849	12136	2141
850	12150	2127
851	12164	2113
852	12178	2098
853	12191	2084
854	12205	2069
855	12218	2055
856	12231	2040
857	12244	2026
858	12257	2011
859	12270	1997
860	12283	1983
